Key,Embedding
title,"[-0.0750977098941803, -0.032000958919525146, -0.03437187150120735, -0.054321449249982834, 0.009169877506792545, -0.04182756319642067, 0.10451316833496094, 0.009180744178593159, 0.017489438876509666, -0.06019215285778046, 0.07124654948711395, -0.020160837098956108, 0.034009113907814026, -0.02023700438439846, 0.03482156991958618, -0.02517235279083252, -0.0056594256311655045, 0.02753726951777935, -0.10023246705532074, 0.006730086635798216, -0.1408040076494217, 0.0020834109745919704, -0.06547527760267258, 0.05336359515786171, -0.05474458634853363, 0.041959114372730255, 0.007732254918664694, 0.05553324520587921, -0.052701301872730255, -0.044167377054691315, 0.005193445831537247, 0.03232532739639282, 0.11941839009523392, 0.006203310564160347, 0.04273542761802673, -0.027671033516526222, -0.06385061889886856, -0.026103731244802475, -0.08253176510334015, -0.010413718409836292, -0.059735074639320374, -0.07561728358268738, -0.025324931368231773, 0.023954125121235847, 0.045533981174230576, 0.026585401967167854, -0.0061936331912875175, 0.03419651463627815, 0.08610271662473679, 0.05283179506659508, -0.06541312485933304, -0.008901802822947502, -0.045873574912548065, 0.033693939447402954, -0.04046029970049858, 0.0033843612764030695, -0.022013669833540916, -0.00348249776288867, 0.02943599782884121, 0.028087906539440155, -0.009445486590266228, -0.04213394597172737, 0.006628233008086681, 0.06060142442584038, -0.03452727943658829, -0.045289598405361176, -0.1232633888721466, -0.04645436257123947, -0.032212741672992706, -0.01945478655397892, -0.06583931297063828, 0.0353676974773407, -0.0365535132586956, 0.04050232842564583, 0.030122283846139908, -0.003019987139850855, 0.011165167205035686, -0.0034065747167915106, 0.05467766523361206, 0.0127591947093606, 0.016904201358556747, -0.024471309036016464, 0.014979654923081398, -0.015936996787786484, -0.011816593818366528, 0.04519135132431984, 0.06613259762525558, -0.014180311001837254, -0.09239473938941956, -0.0369686558842659, 0.02329675294458866, 0.08596731722354889, 0.06835770606994629, -0.033758826553821564, -0.17808395624160767, 0.014834712259471416, 0.05559675768017769, -0.0935496985912323, -0.061585914343595505, 0.14399488270282745, -0.009316982701420784, 0.051319681107997894, 0.022069746628403664, 0.04044722020626068, -0.02850339747965336, 0.01562814600765705, -0.024502860382199287, 0.13904975354671478, 0.008310016244649887, -0.0465221144258976, -0.052762847393751144, -0.022451424971222878, -0.06976006925106049, -0.032112568616867065, 0.11000054329633713, -0.006253181025385857, -0.03097471222281456, 0.07274072617292404, 0.10527804493904114, -0.03698112815618515, 0.059568021446466446, -0.005134334322065115, -0.04261472821235657, -0.06036446988582611, -0.0729544386267662, -0.08405768871307373, 0.03124876692891121, -3.788126054440826e-33, 0.012283029966056347, 0.10519208759069443, 0.008507835678756237, 0.04095054417848587, 0.012082137167453766, 0.04202980920672417, -0.0029889638535678387, 0.09529287368059158, -0.013482394628226757, 0.0075739165768027306, 0.005857454147189856, 0.03714508190751076, 0.009122136048972607, 0.03649173676967621, 0.0016197969671338797, 0.075054831802845, -0.009049895219504833, -0.0017807685071602464, -0.0383041612803936, 0.007730856072157621, 0.004813734441995621, 0.015389141626656055, 0.018846862018108368, 0.15125465393066406, -0.007283656857907772, 0.029244791716337204, 0.08517048507928848, -0.011926544830203056, 0.1181127279996872, 0.04107632860541344, 0.0355650894343853, -0.007403580006211996, -0.03196946159005165, 0.019404234364628792, 0.039314232766628265, 0.013414951041340828, 0.001996683655306697, -0.10280226916074753, -0.08802933990955353, 0.0259510800242424, -0.06971102952957153, 0.015334834344685078, -0.040984366089105606, -0.02839076519012451, -0.02464660257101059, 0.002531446749344468, 0.11578864604234695, 0.03758221119642258, -0.03833570331335068, 0.02639053761959076, 0.008219106122851372, 0.023807698860764503, -0.07986287027597427, 0.061583034694194794, -0.06925981491804123, -0.04205803945660591, 0.03010270744562149, -0.016868509352207184, -0.0265140850096941, -0.09829509258270264, 0.05501054972410202, -0.026976807042956352, -0.018008612096309662, -0.08794581145048141, -0.052824266254901886, -0.08969665318727493, 0.02572537027299404, -0.0827842503786087, 0.08911686390638351, -0.0076433937065303326, 0.019327253103256226, 0.05885063856840134, 0.011156855151057243, 0.03904087841510773, -0.05091290548443794, -0.016127891838550568, -0.10799966007471085, 0.049903374165296555, 0.046943407505750656, 0.03307481110095978, -0.0413513146340847, 0.006912969518452883, -0.025749966502189636, -0.0325603187084198, 0.010502651333808899, 0.04716727137565613, -0.0023779922630637884, -0.04387921839952469, -0.045082759112119675, -0.011440807022154331, -0.09162668883800507, 0.0669219121336937, 0.09057952463626862, 0.09690245240926743, -0.006133119110018015, 1.7337456179064153e-33, -0.07117580622434616, -0.028586098924279213, -0.09443805366754532, 0.018913647159934044, 0.020932555198669434, -0.03672557324171066, 0.04536175727844238, 0.05684228986501694, -0.040289685130119324, 0.020225701853632927, 0.0014230794040486217, -0.024506788700819016, 0.020503828302025795, 0.004281801171600819, 0.10051508992910385, 0.06314990669488907, 0.004181562922894955, -0.060694389045238495, -0.020287033170461655, 0.013371700420975685, -0.06854046136140823, 0.006495582405477762, -0.06416331231594086, 0.02189847268164158, -0.0036791586317121983, 0.012453457340598106, 0.11263519525527954, -0.0035217616241425276, 0.03164859861135483, -0.060745719820261, -0.01397064607590437, 0.029677703976631165, -0.04196314513683319, -0.004072967451065779, -0.023194177076220512, 0.001440583262592554, -0.05073489621281624, 0.07048805803060532, -0.022155791521072388, 0.04799924045801163, 0.09028458595275879, 0.0027283290401101112, -0.027385305613279343, 0.05421629548072815, -0.03708454594016075, -0.04757312312722206, 0.11169625073671341, -0.03718508780002594, 0.09166639298200607, 0.09440141171216965, -0.04374818131327629, -0.06120229512453079, 0.028054749593138695, 0.04516330733895302, -0.04562938213348389, 0.016604356467723846, 0.028927592560648918, 0.010421915911138058, 0.0854702740907669, -0.027129070833325386, 0.009645495563745499, 0.009211496450006962, 0.006882515735924244, 0.07197465002536774, 0.02948874980211258, -0.028513673692941666, 0.03785167634487152, -0.020305443555116653, -0.036557093262672424, -0.07883332669734955, 0.021951494738459587, -0.021195128560066223, 0.0004513873718678951, 0.005674921441823244, 0.01040447223931551, -0.07256194949150085, -0.04423661157488823, -0.0656568631529808, -0.03233709558844566, -0.002147479448467493, -0.04186372831463814, -0.006931462325155735, 0.020512882620096207, -0.001931092469021678, -0.016071002930402756, -0.10274047404527664, 0.13779154419898987, 0.024072419852018356, -0.06445160508155823, -0.025600967928767204, 0.007091015577316284, 0.05870647355914116, -0.0319114625453949, 0.01800592429935932, -0.025384970009326935, -1.4835513262312361e-08, 0.054793596267700195, 0.0650668740272522, 0.029087601229548454, 0.040235597640275955, 0.06244952604174614, -0.024427741765975952, 0.004690938629209995, 0.039461638778448105, -0.02140388824045658, 0.03236842527985573, -0.007105519063770771, 0.04159175232052803, -0.006923168897628784, 0.075479656457901, 0.03995836526155472, -0.0031918813474476337, -0.03219499811530113, 0.007671213708817959, -0.0034242509864270687, -0.024747204035520554, 0.02307085320353508, 0.02506529539823532, 0.05466693639755249, -0.06205083057284355, 0.004279256332665682, 0.066071517765522, -0.014553534798324108, 0.05298515781760216, 0.009550981223583221, -0.11699407547712326, -0.028267832472920418, 0.027345901355147362, 0.017727652564644814, -0.07611743360757828, -0.02106752246618271, -0.023060040548443794, -0.06477300077676773, -0.02667931839823723, -0.009391910396516323, -0.04556630924344063, 0.020173920318484306, -0.001888744067400694, 0.012485272251069546, -0.009793838486075401, 0.028837820515036583, 0.002216536784544587, 0.05553998425602913, -0.07052154839038849, -0.034391138702631, 0.01604282110929489, -0.11820030957460403, -0.02329539880156517, 0.07332982122898102, 0.01171057764440775, -0.0017914309864863753, -0.08243007957935333, 0.10989797115325928, -0.001860937220044434, -0.036596547812223434, 0.036192890256643295, -0.004156071692705154, 0.027259375900030136, -0.033759187906980515, -0.03807111084461212]"
description,"[-0.05085040628910065, 0.005162314046174288, -0.010977250523865223, -0.024458948522806168, -0.03164803236722946, 0.0006522801122628152, 0.03449610248208046, -0.026663081720471382, -0.04910816252231598, -0.046908777207136154, 0.07797275483608246, 0.06258518248796463, 0.041736651211977005, -0.07625961303710938, 0.07422856986522675, 0.001177213154733181, 0.07042918354272842, 0.010875671170651913, -0.03518947586417198, -0.06482990086078644, -0.10053645074367523, -0.006498273927718401, -0.10245606303215027, 0.04370143264532089, -0.01952388323843479, 0.061626069247722626, 0.04467315599322319, 0.025295516476035118, -0.00405675545334816, -0.0229417085647583, 0.040221378207206726, 0.07984502613544464, 0.07351333647966385, 0.028460973873734474, -0.06935624033212662, -0.008073722012341022, -0.02675827592611313, 0.08066247403621674, -0.02197868935763836, 0.020809678360819817, -0.02128412574529648, 0.004457774106413126, -0.063754603266716, 0.048849672079086304, 0.022308120504021645, -0.017739713191986084, -0.0013981149531900883, 0.00934770330786705, 0.02018004283308983, 0.10983635485172272, -0.1569431722164154, 0.01679724082350731, 0.02805573306977749, 0.034785196185112, 0.006234841421246529, 0.00396525114774704, -0.026687398552894592, -0.03668989613652229, -0.0006656967452727258, 0.034284818917512894, -0.015933465212583542, -0.05368609353899956, -0.04201452061533928, 0.0734018087387085, 0.025545652955770493, 0.002568789990618825, -0.05751561373472214, 0.05750551447272301, -0.028994452208280563, -0.0679258480668068, -0.0068174065090715885, 0.02444295585155487, -0.02078406512737274, 0.02957623079419136, -0.020406313240528107, -0.02166610024869442, -0.021912571042776108, -0.03330182656645775, 0.07299090176820755, -0.01698467507958412, 0.03335796669125557, 0.04385947808623314, 0.016225116327404976, 0.04570568725466728, -0.005366411525756121, -0.045408643782138824, 0.05545063689351082, -0.04895739257335663, -0.11691807210445404, -0.049337055534124374, -0.00825866311788559, 0.029436243698000908, 0.03888706862926483, 0.004047160968184471, 0.00975425448268652, 0.008092202246189117, 0.005575817544013262, -0.10193740576505661, 0.07225087285041809, 0.035752203315496445, -0.0340709388256073, 0.05047033354640007, -0.0013375977287068963, 0.04761534556746483, -0.06929565221071243, -0.11171311140060425, 0.02674533613026142, 0.0851275771856308, -0.019407030194997787, 0.026490498334169388, -0.10603469610214233, 0.0003342851996421814, -0.08638903498649597, -0.11606057733297348, 0.043585728853940964, -0.09828829020261765, -0.030405458062887192, 0.04049067944288254, -0.012531677260994911, 0.01762334629893303, -0.02251250669360161, 0.05153468996286392, 0.04617079719901085, -0.024326127022504807, -0.01319747231900692, -0.026121119037270546, -0.005043217446655035, -1.8204047144879652e-33, -0.027845222502946854, 0.08408396691083908, 0.05308059602975845, -0.005321612115949392, -0.023471953347325325, -0.003337948117405176, -0.05041641741991043, -0.016874024644494057, -0.01695750467479229, 0.060236480087041855, 0.023678243160247803, 0.12230648845434189, 0.010230728425085545, 0.03935036063194275, 0.0032974265050143003, 0.04116867482662201, -0.07027116417884827, 0.09211654961109161, 0.049995582550764084, -0.0069127557799220085, 0.04759759083390236, -0.032105814665555954, 0.030904941260814667, 0.06408704072237015, 0.016471825540065765, -0.06775698065757751, 0.05073024332523346, 0.10614097118377686, 0.04201997071504593, -0.0017223055474460125, 0.09091797471046448, -0.041671935468912125, -0.008172203786671162, -0.04024199768900871, -0.02524181269109249, 0.02694324590265751, -0.051353760063648224, -0.09666647762060165, 0.010761736892163754, 0.027877118438482285, -0.018900522962212563, 0.05416207015514374, 0.07373910397291183, -0.03100292943418026, -0.08159876614809036, 0.14119425415992737, -0.03893784061074257, -0.005310792941600084, -0.06987233459949493, 0.020795943215489388, -0.010403887368738651, 0.0055162059143185616, 0.002469603670760989, 0.08860260248184204, -0.07158047705888748, 0.0547356940805912, 0.018302734941244125, -0.0908939391374588, 0.009326559491455555, -0.006297924555838108, -0.04461304843425751, -0.05605294555425644, 0.017015503719449043, -0.06601276993751526, -0.010120834223926067, -0.002552620368078351, 0.001470627961680293, -0.08036306500434875, 0.05894073471426964, 0.06408398598432541, -0.025501804426312447, -0.009515569545328617, 0.003144302871078253, 0.02027781680226326, -0.07856802642345428, 0.01667715422809124, -0.10880347341299057, -0.009330516681075096, 0.01155773364007473, 0.060757532715797424, -0.02692946419119835, -0.05047636851668358, 0.051301851868629456, 0.03240969777107239, 0.07347556948661804, 0.08652601391077042, 0.016431408002972603, -0.08334646373987198, -0.07278244942426682, 0.02076471596956253, -0.05568275600671768, 0.09158720821142197, -0.03232544660568237, 0.015594575554132462, 0.02413749508559704, 1.1757042867665047e-33, -0.033625971525907516, 0.0241185761988163, -0.036869000643491745, 0.08530762046575546, 0.028885209932923317, 0.04784755781292915, -0.05880272015929222, -0.004061521962285042, -0.012104706838726997, 0.06023160368204117, -0.041636645793914795, -0.08130042999982834, 0.027335412800312042, -0.06181054189801216, -0.050310734659433365, 0.07949432730674744, 0.05606100335717201, -0.04373616725206375, -0.02759239263832569, -0.03237375617027283, -0.02451365813612938, 0.010800239630043507, -0.09933262318372726, -0.012140896171331406, 0.061705902218818665, 0.047025084495544434, -0.02595960535109043, -0.02187708392739296, -0.024040214717388153, -0.03654307872056961, -0.07162992656230927, -0.06587022542953491, -0.015061214566230774, -0.04168447107076645, -0.08794920146465302, 0.04556554928421974, -0.0043511646799743176, 0.0762343779206276, 0.009815989062190056, 0.0663648173213005, 0.00807766430079937, 0.0014096040977165103, 0.001093612634576857, -0.016938505694270134, -0.021697232499718666, -0.03224678337574005, 0.01037075649946928, 0.013931715860962868, -0.037712033838033676, 0.018703613430261612, 0.0010948252165690064, -0.009273498319089413, 0.016999881714582443, -0.012461056001484394, 1.7133710571215488e-05, -0.023309379816055298, 0.0869952067732811, 0.022304637357592583, 0.08545380085706711, 0.030744940042495728, 0.032484132796525955, -0.023795662447810173, 0.03206722065806389, 0.09948108345270157, -0.008511815220117569, -0.06498171389102936, 0.038558997213840485, -0.029292453080415726, -0.06885597109794617, -0.06739486008882523, -0.0272287018597126, -0.04565627872943878, -0.013461394235491753, -3.8141224649734795e-05, -0.018146125599741936, -0.006190921645611525, -0.06483695656061172, -0.019847190007567406, -0.03778187930583954, 0.01918664574623108, 0.02895990014076233, -0.06689585745334625, 0.08217263966798782, 0.10857325792312622, 0.035553593188524246, -0.05983925610780716, 0.06975743919610977, -0.06296861171722412, 0.0574263334274292, -0.07059910148382187, -0.09258022904396057, 0.039065372198820114, -0.12884074449539185, 0.05103512480854988, 0.014499800279736519, -2.3150329653276458e-08, -0.04877505823969841, -0.0821504294872284, -0.0005297021707519889, 0.07050809264183044, 0.003277409356087446, -0.0212688185274601, 0.0027065712492913008, 0.1263841837644577, -0.038247719407081604, 0.03419804573059082, 0.022101296111941338, 0.031334057450294495, -0.09107843041419983, 0.051159441471099854, 0.11907795816659927, 0.03550505265593529, 0.03227187320590019, -0.03903384134173393, -0.022753505036234856, 0.01764410175383091, 0.014452478848397732, 0.0734408050775528, 0.014362198300659657, -0.00013903947547078133, 0.15387728810310364, 0.026673519983887672, 0.01372900977730751, 0.040397047996520996, 0.061109382659196854, -0.11073281615972519, -0.018125051632523537, -0.02335425652563572, 0.038919780403375626, -0.06999201327562332, 0.013313185423612595, 0.0028373724780976772, -0.013482869602739811, -0.02245892770588398, -0.08043435215950012, -0.06612687557935715, -0.0038376206066459417, 0.06004348024725914, -0.027083763852715492, 0.055446188896894455, 0.019550751894712448, 0.03290370851755142, 0.017599767073988914, 0.05667852610349655, -0.005999668501317501, 0.06483495980501175, -0.03581146150827408, -0.040229443460702896, 0.11812403053045273, 0.007196993101388216, -0.03441133350133896, -0.04579334333539009, -0.004099901765584946, 0.004307164344936609, 0.051549818366765976, 0.013045606203377247, 0.04976588115096092, 0.04262666031718254, -0.019139202311635017, 0.004262671340256929]"
document,"[-0.046045731753110886, 0.00916553195565939, -0.014815138652920723, -0.019661610946059227, 0.028487758710980415, 0.054974161088466644, 0.04580147564411163, -0.059096064418554306, 0.030691884458065033, -0.04215918481349945, 0.044371988624334335, 0.05869824439287186, 0.026084525510668755, -0.02243570052087307, 0.08661133050918579, -0.06201845780014992, 0.0856708511710167, -0.009043741039931774, -0.09555250406265259, -0.03394358605146408, -0.047714583575725555, -0.03002270497381687, -0.06911566108465195, 0.0672214925289154, -0.10762649029493332, 0.07481611520051956, 0.0184343121945858, -0.021783020347356796, -0.08589418232440948, -0.11580442637205124, -0.01059784647077322, 0.0700148195028305, 0.0909290611743927, 0.03941472992300987, -0.05737192928791046, -0.011200640350580215, -0.040175847709178925, -0.027278203517198563, -0.007954551838338375, -0.014738510362803936, -0.013637594878673553, -0.08123849332332611, -0.03278519958257675, 0.06754069775342941, 0.05983112379908562, -0.010101000778377056, -0.04191223531961441, 0.004757821559906006, 0.06267725676298141, 0.09213490039110184, -0.09765385091304779, 0.002829598030075431, -0.022118188440799713, -0.026591889560222626, -0.03205795958638191, 0.08067893236875534, 0.0486091673374176, -0.020140521228313446, 0.042178817093372345, -0.019007369875907898, 0.004883145913481712, -0.06426364183425903, 0.009666658006608486, 0.0584556981921196, -0.035657383501529694, -0.032408006489276886, -0.05714893341064453, 0.02227330580353737, -0.07889395952224731, -0.0032132600899785757, 0.018127180635929108, -0.002990030450746417, -0.010037320666015148, 0.04614213481545448, -0.005293706431984901, 0.0574580579996109, -0.003914398606866598, -0.027926478534936905, 0.011864226311445236, -0.008388630114495754, -0.014581822790205479, 0.09081383049488068, -0.0005021461984142661, 0.030143406242132187, 0.024467116221785545, -0.028268318623304367, 0.041738253086805344, -0.011301550082862377, -0.05404471233487129, 0.006156631279736757, 0.007041239179670811, 0.033798594027757645, 0.04426134377717972, -0.06646175682544708, -0.04378652945160866, 0.040385082364082336, -0.058130357414484024, -0.06755731254816055, 0.04609796777367592, -0.012674106284976006, 0.0206154715269804, 0.10017069429159164, 0.047456394881010056, -0.004515849985182285, -0.011562150903046131, -0.12271016091108322, -0.005728898104280233, 0.09350845217704773, 0.005563443526625633, 0.03807426616549492, -0.0598180815577507, 0.008388685993850231, -0.020950976759195328, -0.09464522451162338, 0.10710152983665466, -0.0036154098343104124, 0.028862303122878075, 0.049617569893598557, -0.008254964835941792, 0.05640619248151779, 0.03981093689799309, 0.0429207906126976, 0.11641745269298553, -0.03782529756426811, -0.012437913566827774, 0.027006840333342552, -0.009137237444519997, 4.0904249979059164e-33, -0.053957775235176086, 0.028667330741882324, 0.012889202684164047, 0.0042254128493368626, 0.012268760241568089, -0.029098520055413246, 0.00901903584599495, 0.07287967205047607, -0.02481784112751484, 0.09620898962020874, 0.015886157751083374, 0.12252789735794067, 0.0060028135776519775, 0.13314595818519592, 0.0423353910446167, 0.05314498767256737, -0.023969553411006927, 0.047301553189754486, 0.026861920952796936, -0.06518018990755081, 0.031331609934568405, -0.07915744930505753, 0.024931905791163445, 0.03482367470860481, -0.01208844967186451, 0.0023488390725106, 0.0669495016336441, 0.07248467206954956, 0.026385828852653503, 0.0070126852951943874, 0.09269162267446518, -0.00778900645673275, 0.002451024018228054, -0.04196015000343323, -0.00904061459004879, -0.025052139535546303, -0.04557439684867859, -0.09386920183897018, -0.019923068583011627, 0.015756167471408844, -0.08891768008470535, -0.011697138659656048, -0.0898815169930458, -0.0064367675222456455, -0.10106724500656128, 0.051018841564655304, 0.01701548509299755, -0.026958486065268517, -0.05297659710049629, 0.033006347715854645, -0.004299071617424488, -0.00014267936057876796, 0.11857873201370239, 0.06677858531475067, -0.09931712597608566, -0.012247854843735695, 0.053669173270463943, -0.13997508585453033, 0.0020494312047958374, -0.005924253258854151, -0.0011284325737506151, -0.03234902769327164, -0.0005562608130276203, -0.021421680226922035, -0.08742153644561768, 0.0030988859944045544, 0.03860878199338913, -0.04899341240525246, 0.013742895796895027, 0.04245327413082123, 0.04732233285903931, 0.006912222132086754, 0.05969524011015892, -0.06113690510392189, 0.05302609130740166, -0.041396502405405045, -0.07217201590538025, 0.08959177881479263, 0.021746838465332985, -0.037402328103780746, -0.007439783774316311, -0.022118892520666122, 0.11737880855798721, -0.017026938498020172, -0.07951683551073074, 0.014353184029459953, 0.030494919046759605, -0.006320240441709757, -0.0718320682644844, -0.02639610692858696, -0.02020486444234848, 0.06891859322786331, -0.00780390715226531, 0.08150599151849747, 0.032585952430963516, -4.335339613241725e-33, -0.023632323369383812, 0.012580220587551594, -0.04714082553982735, -0.00829319842159748, 0.009347600862383842, -0.033085696399211884, -0.06346461921930313, 0.023188510909676552, -0.0027222835924476385, -0.025225849822163582, -0.057339057326316833, -0.008784344419836998, 0.0342150442302227, 0.008580702356994152, 0.00408899737522006, 0.06609737128019333, 0.022639300674200058, -0.05500739812850952, 0.04643808305263519, -0.018601076677441597, -0.029659252613782883, 0.007444937713444233, -0.08149751275777817, -0.05733559653162956, -0.02524743415415287, 0.09337616711854935, 0.02732716128230095, -0.02407817170023918, 0.04329521209001541, -0.044754140079021454, -0.023613842204213142, -0.00928123202174902, 0.06850889325141907, -0.06409472227096558, -0.039002563804388046, -0.014141674153506756, 0.012806888669729233, 0.04696086794137955, -0.019256051629781723, 0.03410198539495468, 0.06845937669277191, 0.008460954762995243, -0.016867049038410187, -0.01409903820604086, -0.008019794709980488, -0.037475232034921646, 0.10645504295825958, 0.017792657017707825, 0.08409912139177322, 0.07619670778512955, -0.055993739515542984, 0.01831762120127678, -0.0022789770737290382, 0.07011593878269196, -0.04460756480693817, 0.041538286954164505, 0.00529787503182888, -0.0008971264469437301, 0.03667445108294487, -0.0014465304557234049, -0.022279366850852966, 0.042878638952970505, 0.025642838329076767, 0.022230202332139015, 0.07344993948936462, -0.008088829927146435, 0.08393732458353043, -0.10400459915399551, -0.017495810985565186, -0.07024724781513214, -0.03486087545752525, -0.015197645872831345, 0.03325186297297478, -0.03583166003227234, -0.004931946750730276, -0.05943480134010315, -0.037190768867731094, -0.10348016023635864, -0.09649283438920975, 0.05245555564761162, 0.043021541088819504, -0.04982978478074074, 0.023015297949314117, 0.07776045054197311, -0.06902255862951279, -0.018133284524083138, -0.019099082797765732, 0.05048253387212753, -0.04928724095225334, -0.033735163509845734, -0.0828423798084259, 0.0037125840317457914, -0.12428420037031174, 0.06298697739839554, 0.00999533012509346, -5.580696438300947e-08, -0.009406997822225094, -0.04751064255833626, 0.06010831519961357, 0.035223253071308136, 0.07165922969579697, -0.05318058654665947, 0.009600719437003136, 0.09932222962379456, -0.02625233680009842, 0.012178429402410984, 0.021434668451547623, 0.014768283814191818, -0.12888190150260925, -0.007979857735335827, 0.07715359330177307, 0.018744921311736107, 0.02024228312075138, -0.03150508180260658, -0.014672907069325447, 0.01142384298145771, 0.0013772386591881514, 0.011267888359725475, 0.07760579884052277, -0.03966152295470238, 0.019723545759916306, -0.010267079807817936, -0.002917597070336342, 0.06953916698694229, 0.09741504490375519, -0.08887693285942078, -0.025275463238358498, -0.017713936045765877, 0.07549157738685608, -0.06605280935764313, -0.047323714941740036, -0.029590453952550888, -0.03630213066935539, -0.07521233707666397, 0.007726029958575964, -0.07461976259946823, -0.051629018038511276, -0.029165348038077354, -0.041979771107435226, 0.04788413643836975, 0.022169748321175575, -0.022547010332345963, -0.07594501227140427, -0.025630991905927658, 0.011233240365982056, 0.015832358971238136, -0.06711634248495102, -0.05498329550027847, 0.0782739594578743, 0.07138969749212265, 0.03742082044482231, -0.02740146778523922, 0.0440867580473423, -0.05466095730662346, 0.12077654153108597, 0.040769897401332855, 0.04390423744916916, -0.04815683513879776, -0.02784171886742115, -0.007801315747201443]"
